subj_idx,stim,response,rt,condition,MotCon,block
3,-1.5,0,0.7271,1,-1,3
3,0.0,1,1.3393,1,1,3
3,0.0,0,0.8612,1,-1,3
3,0.0,0,2.7475,1,-1,3
3,0.0,1,1.3295,1,1,3
3,0.0,1,0.8996,1,1,3
3,0.0,1,1.9752,1,1,3
3,0.0,0,0.8910,1,-1,3
3,-0.5,0,2.4421,1,-1,3
3,0.0,1,2.0765,1,1,3
3,0.0,0,1.3226,1,-1,3
3,0.0,1,1.2551,1,1,3
3,0.0,1,1.8042,1,1,3
3,1.5,1,1.0713,1,1,3
3,0.5,1,0.8168,1,1,3
3,-0.5,0,1.3361,1,-1,3
3,0.0,1,0.9565,1,1,3
3,0.5,1,1.8912,1,1,3
3,0.0,1,1.3323,1,1,3
3,1.5,1,0.7635,1,1,3
3,0.5,1,0.7362,1,1,3
3,0.0,0,1.0038,1,-1,3
3,0.0,0,2.7008,1,-1,3
3,0.0,1,2.8033,1,1,3
3,0.0,1,1.7537,-1,-1,4
3,0.0,0,1.5616,-1,1,4
3,0.0,1,1.5090,-1,-1,4
3,0.0,1,1.4581,-1,-1,4
3,0.0,1,1.5662,-1,-1,4
3,-0.5,0,2.3070,-1,1,4
3,-0.5,0,2.4258,-1,1,4
3,0.0,1,1.1219,-1,-1,4
3,-1.5,0,0.8185,-1,1,4
3,0.0,1,2.0940,-1,-1,4
3,0.5,1,1.3355,-1,-1,4
3,0.0,1,2.0169,-1,-1,4
3,1.5,1,0.9398,-1,-1,4
3,0.0,0,2.3738,-1,1,4
3,0.0,0,2.5850,-1,1,4
3,-0.5,0,2.1922,-1,1,4
3,1.5,1,0.7698,-1,-1,4
3,0.0,0,1.7092,-1,1,4
3,0.0,0,2.5655,-1,1,4
3,0.0,1,1.4619,-1,-1,4
3,-1.5,0,1.2429,-1,1,4
3,0.0,1,1.0639,-1,-1,4
3,0.5,0,1.7899,-1,1,4
3,0.0,0,1.5821,-1,1,4
3,0.0,1,1.5672,-1,-1,4
