subj_idx,stim,response,rt,condition,MotCon,pupil,baseline
2,0.0,1,0.7118,0,0,-0.083,3.730
2,1.5,1,0.7274,0,0,0.222,3.009
2,0.0,1,0.5912,0,0,0.199,3.077
2,-1.5,0,0.4568,0,0,0.107,3.143
2,0.5,1,0.6949,0,0,0.308,2.424
2,0.0,1,1.0268,0,0,0.135,2.259
2,0.0,1,1.0646,0,0,0.087,2.227
2,0.0,0,0.9667,0,0,-0.257,2.444
2,-0.5,1,0.8546,0,0,0.041,2.663
2,0.0,0,0.7318,0,0,0.069,2.147
2,-1.5,0,0.9719,0,0,0.546,0.728
2,0.0,1,0.8037,0,0,0.406,0.634
2,0.0,0,1.2529,0,0,-0.218,1.143
2,1.5,1,0.6624,0,0,-0.083,1.127
2,0.0,1,0.7555,0,0,0.410,0.519
2,0.0,1,0.7698,0,0,0.298,0.166
2,-0.5,1,1.0669,0,0,-0.023,-0.162
2,0.0,0,0.7593,0,0,0.073,0.247
2,0.0,1,1.1362,0,0,0.156,0.123
2,0.5,1,0.7198,0,0,0.012,0.700
2,0.5,1,0.8355,0,0,0.194,-0.181
2,0.0,1,0.7111,0,0,-0.090,-0.033
2,0.0,0,0.7463,0,0,0.343,-0.071
2,0.0,1,0.8370,1,1,-0.537,1.851
2,0.0,0,0.9033,1,-1,0.365,0.718
2,0.0,0,0.8742,1,-1,0.263,0.957
2,1.5,1,0.7500,1,1,0.153,0.713
2,0.0,1,1.3897,1,1,0.178,0.779
2,0.0,1,0.9275,1,1,-0.358,0.411
2,0.0,1,1.5158,1,1,0.188,0.483
2,0.0,0,1.9826,1,-1,0.072,1.201
2,0.0,1,0.8446,1,1,-0.013,1.005
2,0.0,1,1.2326,1,1,0.368,0.740
2,-1.5,0,0.6091,1,-1,0.285,0.558
2,0.0,1,1.0200,1,1,-0.152,1.225
2,0.0,1,1.1798,1,1,0.051,0.481
2,0.0,1,1.5522,1,1,0.149,0.581
2,0.0,0,1.3002,1,-1,0.053,0.855
2,0.0,1,1.3994,1,1,-0.361,1.210
2,0.0,0,0.7633,1,-1,-0.112,0.699
2,0.5,1,1.2744,1,1,-0.962,0.870
2,-1.5,0,1.4001,1,-1,-0.021,0.562
2,-0.5,0,1.0527,1,-1,-0.238,0.490
2,1.5,1,0.8345,1,1,-0.099,0.418
2,0.0,1,1.2521,1,1,0.543,0.009
2,-0.5,1,1.5256,1,1,0.406,-0.019
2,-0.5,0,1.6273,1,-1,0.923,0.233
2,0.5,1,0.8492,1,1,-0.144,0.991
2,1.5,1,0.8289,-1,-1,-0.395,1.844
2,0.0,1,1.4578,-1,-1,0.272,0.714
2,0.0,0,2.0682,-1,1,0.024,1.553
2,0.0,1,1.4221,-1,-1,-0.335,1.762
2,1.5,1,0.7603,-1,-1,0.225,0.196
2,0.0,1,0.8247,-1,-1,0.250,-0.530
2,0.0,1,1.6244,-1,-1,0.048,0.538
2,-0.5,1,2.5560,-1,-1,1.389,-0.334
2,0.5,1,0.7471,-1,-1,0.059,1.118
2,-0.5,1,2.5934,-1,-1,1.146,-0.157
2,0.0,1,0.9099,-1,-1,-0.230,0.700
2,0.0,1,1.2154,-1,-1,0.138,0.272
2,0.0,1,1.9703,-1,-1,0.521,-0.279
2,-1.5,0,0.7636,-1,1,0.052,0.543
2,0.0,0,2.1685,-1,1,1.189,-0.151
2,0.0,1,0.7830,-1,-1,0.153,0.659
2,0.5,1,1.0173,-1,-1,0.102,-0.692
2,0.0,1,0.9204,-1,-1,-0.696,-0.503
2,0.0,1,1.0048,-1,-1,0.368,-0.900
2,-1.5,0,0.6707,-1,1,0.052,0.066
2,0.0,0,2.2790,-1,1,-0.133,0.348
2,-0.5,1,0.6779,-1,-1,-0.293,0.208
2,0.0,1,1.0840,-1,-1,-0.597,-0.322
2,0.0,1,1.6235,-1,-1,0.316,-1.193
2,0.0,1,0.9527,-1,-1,0.218,-1.246
2,-1.5,0,0.8156,1,-1,-0.137,0.710
2,0.0,1,0.9182,1,1,-0.304,0.651
2,1.5,1,0.7057,1,1,0.138,0.302
2,0.0,1,0.6481,1,1,0.144,0.230
2,0.0,0,1.5237,1,-1,-0.078,0.227
2,0.5,1,0.6369,1,1,0.055,0.747
2,0.0,0,0.8391,1,-1,-0.028,-0.051
2,0.0,0,1.7573,1,-1,0.541,-0.660
2,-1.5,0,0.7692,1,-1,-0.359,0.192
2,0.5,1,1.5584,1,1,0.243,-0.235
2,0.0,1,2.0601,1,1,0.273,-0.127
2,0.0,0,1.1618,1,-1,0.136,-0.955
2,0.0,1,1.3681,1,1,0.100,-0.406
2,0.0,0,0.7737,1,-1,-0.193,-0.299
2,0.0,1,0.6241,1,1,0.010,-0.555
2,0.0,1,0.7257,1,1,0.139,-2.203
2,0.0,1,1.4682,1,1,-0.191,-0.380
2,-0.5,0,0.6693,1,-1,0.057,-0.339
2,0.5,0,1.0223,1,-1,0.015,0.529
2,0.0,1,1.6394,1,1,0.179,-0.190
2,0.0,1,1.3199,1,1,-0.086,-0.298
2,0.0,0,0.8609,1,-1,0.520,-1.387
2,-0.5,0,0.8426,1,-1,0.058,-1.029
2,0.0,1,1.1675,1,1,-0.497,-0.483
2,1.5,1,0.8232,1,1,0.001,-1.204
2,0.5,1,0.6137,-1,-1,0.136,0.834
2,0.0,0,0.7997,-1,1,0.395,-0.017
2,0.5,0,1.0918,-1,1,-0.179,0.050
2,0.0,1,2.1094,-1,-1,0.637,-0.303
2,0.0,0,0.9921,-1,1,-0.271,0.427
2,-1.5,0,0.7568,-1,1,0.136,-0.396
2,0.0,0,1.0978,-1,1,-0.087,0.100
2,-0.5,0,0.6370,-1,1,-0.054,-1.043
2,0.0,1,0.6786,-1,-1,0.128,-0.915
2,0.0,0,0.6611,-1,1,-0.104,-0.483
2,0.0,1,0.9833,-1,-1,-0.165,-0.122
2,0.0,1,1.2345,-1,-1,-0.099,-0.885
2,0.0,0,1.4164,-1,1,0.795,-1.297
2,0.0,0,1.9245,-1,1,0.408,-0.236
2,-0.5,0,1.5563,-1,1,-0.269,-0.411
2,0.0,0,2.0302,-1,1,0.569,-0.866
2,1.5,1,0.6457,-1,-1,-0.289,-0.194
2,0.0,0,1.1681,-1,1,0.103,-1.154
2,0.5,1,0.8925,-1,-1,-0.209,-1.454
2,0.0,0,1.4225,-1,1,0.313,-1.619
2,0.0,0,1.1853,-1,1,0.359,-1.779
2,-1.5,0,0.7704,-1,1,0.317,-0.764
2,0.0,0,2.2249,-1,1,0.329,-0.281
2,1.5,1,0.7798,-1,-1,0.005,-0.853
2,0.0,0,1.8380,-1,1,0.266,-1.071
2,0.0,0,1.2902,0,0,-0.268,1.001
2,0.0,1,0.9025,0,0,0.012,0.500
2,-0.5,0,0.7491,0,0,-0.193,1.110
2,0.0,0,0.9469,0,0,-0.146,0.383
2,0.0,0,2.3690,0,0,1.098,-1.165
2,0.0,0,1.7896,0,0,-0.264,-0.043
2,0.0,0,1.4066,0,0,0.811,-1.227
2,1.5,1,0.7638,0,0,0.103,-0.481
2,-0.5,0,1.2571,0,0,0.192,-0.478
2,0.0,1,1.2108,0,0,0.504,-1.175
2,0.0,1,0.8405,0,0,0.022,-0.468
2,0.5,1,0.8271,0,0,0.189,-1.586
2,0.0,1,2.2025,0,0,0.457,-1.632
2,0.0,0,2.1222,0,0,0.359,-0.899
2,0.5,1,0.7593,0,0,0.234,-1.368
2,0.0,1,1.6751,0,0,0.733,-1.213
2,0.0,1,0.7206,0,0,-0.063,-0.586
2,0.0,0,2.8161,0,0,0.265,-0.983
2,-0.5,0,2.1357,0,0,0.053,-0.339
2,-1.5,0,0.6986,0,0,-0.405,-1.266
2,1.5,1,0.7624,0,0,0.525,-1.902
2,0.0,1,1.0506,0,0,0.500,-2.122
2,0.0,0,0.8832,0,0,0.073,-0.785
2,0.0,0,0.7310,0,0,0.081,-0.963
2,-1.5,0,0.8885,0,0,0.201,-1.992
2,0.5,1,1.3109,-1,-1,-0.087,1.627
2,-1.5,0,0.8359,-1,1,0.131,1.207
2,0.0,1,1.6285,-1,-1,-0.042,0.910
2,0.0,1,1.6792,-1,-1,0.292,1.084
2,-0.5,1,1.7708,-1,-1,-0.141,1.163
2,0.0,1,0.9713,-1,-1,-0.018,0.339
2,0.0,1,0.9490,-1,-1,-0.155,0.711
2,-1.5,0,0.5641,-1,1,0.150,0.463
2,0.0,1,1.1044,-1,-1,0.539,-0.306
